time,rank,reconstruction_error,threshold,rank_changed
5751,10,0.20422336867497545,0.24758462415714128,0
5776,10,0.20452680949807542,0.2432788426912347,0
5801,10,0.20452680949807542,0.2432788426912347,0
5826,10,0.20452680949807542,0.2432788426912347,0
5851,10,0.20452680949807542,0.2432788426912347,0
5876,10,0.20452680949807542,0.2432788426912347,0
5901,10,0.20452680949807542,0.2432788426912347,0
5926,10,0.2038483293831578,0.239335791360427,0
5951,10,0.2038483293831578,0.239335791360427,0
5976,10,0.2038483293831578,0.239335791360427,0
6000,10,0.2038483293831578,0.239335791360427,0
6001,10,0.2038483293831578,0.239335791360427,0
6026,10,0.2038483293831578,0.239335791360427,0
6051,10,0.2038483293831578,0.239335791360427,0
6076,10,0.24347192431834452,0.23974940465621877,0
6101,10,0.24347192431834452,0.23974940465621877,0
6126,10,0.24347192431834452,0.23974940465621877,0
6151,10,0.24347192431834452,0.23974940465621877,0
6176,10,0.24347192431834452,0.23974940465621877,0
6201,10,0.24347192431834452,0.23974940465621877,0
6223,15,0.3438883605060719,0.2501633002412041,1
6226,15,0.3438883605060719,0.2501633002412041,0
6251,15,0.3438883605060719,0.2501633002412041,0
6276,15,0.3438883605060719,0.2501633002412041,0
6301,15,0.3438883605060719,0.2501633002412041,0
6326,15,0.23431591095494259,0.24857856131257794,0
6351,15,0.23431591095494259,0.24857856131257794,0
6376,15,0.23431591095494259,0.24857856131257794,0
6401,15,0.23431591095494259,0.24857856131257794,0
6426,15,0.23431591095494259,0.24857856131257794,0
6451,15,0.24531602150265694,0.24825230733158582,0
6476,15,0.24531602150265694,0.24825230733158582,0
6501,15,0.24531602150265694,0.24825230733158582,0
6526,15,0.24531602150265694,0.24825230733158582,0
6551,15,0.24531602150265694,0.24825230733158582,0
6576,15,0.2561230201249862,0.24903937861092587,0
6601,15,0.2561230201249862,0.24903937861092587,0
6626,15,0.2561230201249862,0.24903937861092587,0
6651,15,0.2561230201249862,0.24903937861092587,0
6676,15,0.2561230201249862,0.24903937861092587,0
6701,15,0.2561230201249862,0.24903937861092587,0
6726,15,0.2564901820784306,0.24978445895767634,0
6751,15,0.2564901820784306,0.24978445895767634,0
6776,15,0.2564901820784306,0.24978445895767634,0
6801,15,0.2564901820784306,0.24978445895767634,0
6826,15,0.2564901820784306,0.24978445895767634,0
6851,15,0.2564901820784306,0.24978445895767634,0
6876,15,0.2564901820784306,0.24978445895767634,0
6901,15,0.2564901820784306,0.24978445895767634,0
6926,15,0.2576162914003494,0.2505676422019436,0
6951,15,0.2576162914003494,0.2505676422019436,0
